SAMINATURA BINEFAR;;;;;;;;;;;
ARTICULOS - PROVEEDOR;;;;;;;;;;;

DEPORTE;;
1781;ACONDICIONADOR;;7- BIOCOP;;6,00;5,34;;20;;
;;;;;;;;;;;

HIGIENE PERSONAL;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1316;acondicionador aloe;;3- FELIUBADALO;;3,00;5,69;;0;;
1316;acondicionador aloe;;7- BIOCOP;;3,00;5,69;;0;;
;;;;;;;;;;;
1485;acondicionador ALOE;;3- FELIUBADALO;;3,00;4,55;;0;;
;;;;;;;;;;;
1486;Acondicionador camolmila;;3- FELIUBADALO;;9,00;4,55;;0;;
;;;;;;;;;;;
342;ACONDICIONADOR COCO;;7- BIOCOP;;6,00;5,33;;30;;
;;;;;;;;;;;
1484;acondicionador lavanda;;3- FELIUBADALO;;9,00;4,55;;0;;
;;;;;;;;;;;
1317;ACONDICIONADOR NIÑOS;;7- BIOCOP;;4,00;3,93;;0;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
2555;ACONDICIONADOR RIZOS;;21-NATURAKOSMETIC;;3,00;5,99;;0;;
;;;;;;;;;;;
3252;ACONDICIONADOR ROM W;;10019- WELEDA;;4,00;5,18;;0;;
;;;;;;;;;;;
2578;ACONDICIONADOR ROSA;;7- BIOCOP;;6,00;3,93;;0;;
;;;;;;;;;;;

HIGIENE PERSONAL;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
677;acondicionador vita;;21-NATURAKOSMETIC;;2,00;6,70;;12;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
2141;actimincyl;;10- ECOPLAZA;;3,00;14,82;;50;;
;;;;;;;;;;;
2024;ACTIVE C;;10013- POWERBODY;;3,00;4,13;;0;;
;;;;;;;;;;;

ALIMENTACION;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1305;ACHICORIA;;7- BIOCOP;;18,00;2,42;;25;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
2697;achicoria raiz;;10- ECOPLAZA;;6,00;2,28;;0;;
;;;;;;;;;;;

NUTRICION;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1243;ADELGAPOWER;;10008- BIODISPHARMA;;9,00;10,88;;0;;

ARTICULOS - PROVEEDOR;;;;;Pagina 8 ;;;Fecha : 03/02/2026;;;
;;;;;;;;;;;

TODAS;;
Codigo;Articulo;;Referencia;Proveedor;;Uds.;Precio;;Dto%;;Importe
;;;;;;;;;;;
1827;AGAR AGAR;;10011- bioprasad;;4,00;2,83;;0;;
;;;;;;;;;;;
3184;agar agar tiras;;3- FELIUBADALO;;1,00;1,50;;0;;
;;;;;;;;;;;
